,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
57,4950,Shop with Affiliates  1925-D,MS  +,8,25,150,550,850  925,"1,050  1,250","2,000  2,400",3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,4951,Shop with Affiliates  1925-D,FB  +,,,,600,"1,500  1,850","2,750  3,250","4,500  5,500","10,000  16,000","21,500  47,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,4952,Shop with Affiliates  1925-S,MS  +,6,20,100,425,750  900,"1,075  1,200","1,450  2,000",3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,4953,Shop with Affiliates  1925-S,FB  +,,,,650,"1,250  1,500","2,500  3,000","3,600  4,500","8,000  11,000",67500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,4954,Shop with Affiliates  1926,MS  +,5,6,10,50,75  85,125  150,225  275,400  550,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,4955,Shop with Affiliates  1926,FB  +,,,,60,125  150,215  275,400  475,"950  1,250","3,800  6,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,4956,Shop with Affiliates  1926-D,MS  +,6,10,40,210,350  425,525  575,650  800,"1,750  2,250",3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,4957,Shop with Affiliates  1926-D,FB  +,,,,300,700  875,"1,200  1,450","2,850  3,350","4,500  5,500","50,000  77,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,4958,Shop with Affiliates  1926-S,MS  +,14,50,300,1850,"3,150  3,450","3,750  4,000","4,250  4,750","6,000  7,000",13500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,4959,Shop with Affiliates  1926-S,FB  +,,,,2000,"5,000  5,750","6,500  7,250","9,000  12,000","30,000  37,500",70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,4960,Shop with Affiliates  1927,MS  +,5,6,10,40,75  90,130  160,185  265,375  475,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,4961,Shop with Affiliates  1927,FB  +,,,,50,130  165,200  250,550  625,"1,000  1,250","1,750  10,000",25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,4962,Shop with Affiliates  1927-D,MS  +,6,15,110,275,750  850,"1,250  1,350","1,750  2,000","2,350  3,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,4963,Shop with Affiliates  1927-D,FB  +,,,,500,"2,150  2,500","4,500  5,250","8,500  12,000","20,000  30,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,4964,Shop with Affiliates  1927-S,MS  +,6,10,40,400,800  900,"1,100  1,250","1,500  1,750","3,000  4,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,4965,Shop with Affiliates  1927-S,FB  +,,,,450,"3,500  4,000","4,500  5,000","7,000  7,750","19,000  25,000",75000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,4966,Shop with Affiliates  1928,MS  +,5,6,9,35,85  100,125  150,175  225,400  550,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,4967,Shop with Affiliates  1928,FB  +,,,,60,125  150,225  300,450  575,"675  1,150","2,000  5,500",22500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,4968,Shop with Affiliates  1928-D,MS  +,8,20,80,250,500  550,600  750,"1,000  1,250","1,850  2,250",3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,4969,Shop with Affiliates  1928-D,FB  +,,,,500,"1,050  1,250","2,500  2,850","3,150  3,750","5,750  11,500",45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,4970,Shop with Affiliates  1928-S,MS  +,5,9,35,200,350  375,400  500,675  775,"900  1,250","2,000  5,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,4971,Shop with Affiliates  1928-S,FB  +,,,,400,"900  1,000","1,250  1,650","3,600  4,250","6,000  10,500","16,000  36,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,4972,Shop with Affiliates  1929,MS  +,5,5,9,28,50  55,65  75,100  125,225  300,"500  3,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,4973,Shop with Affiliates  1929,FB  +,,,,40,75  85,125  175,325  400,500  600,"1,350  5,000",13500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4974,Shop with Affiliates  1929-D,MS  +,5,7,15,35,60  70,100  110,125  150,225  300,"600  1,750","3,250  6,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4975,Shop with Affiliates  1929-D,FB  +,,,,50,125  150,200  250,350  450,725  900,"2,000  2,500",25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4976,Shop with Affiliates  1929-S,MS  +,5,6,12,45,75  85,150  175,225  275,350  525,"850  1,250",2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4977,Shop with Affiliates  1929-S,FB  +,,,,60,200  250,375  450,650  750,"1,500  1,750","3,000  7,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4978,Shop with Affiliates  1930,MS  +,5,6,11,35,65  85,110  130,175  225,275  400,"1,850  2,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4979,Shop with Affiliates  1930,FB  +,,,,65,150  175,300  400,600  750,"1,350  2,250","5,000  13,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4980,Shop with Affiliates  1930-S,MS  +,6,10,25,125,200  225,300  325,350  400,550  750,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4981,Shop with Affiliates  1930-S,FB  +,,,,150,250  275,400  500,"1,400  1,750","2,100  2,750","5,750  10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4982,Shop with Affiliates  1931,MS  +,6,10,16,65,125  135,150  175,225  275,350  650,"1,100  3,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4983,Shop with Affiliates  1931,FB  +,,,,100,200  225,300  400,750  900,"1,250  1,600","7,000  10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,4984,Shop with Affiliates  1931-D,MS  +,12,20,60,125,200  225,265  325,425  475,550  650,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,4985,Shop with Affiliates  1931-D,FB  +,,,,150,300  350,500  550,600  700,"1,000  1,250","3,250  6,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4986,Shop with Affiliates  1931-S,MS  +,8,12,30,125,225  265,325  340,365  425,550  650,"1,200  1,750",3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,4987,Shop with Affiliates  1931-S,FB  +,,,,250,600  750,"1,250  1,800","3,250  3,750","6,750  9,250",25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,4988,Shop with Affiliates  1934,MS  +,4,4,12,30,50  55,60  65,70  75,100  125,275  450,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,4989,Shop with Affiliates  1934,FB  +,,,,40,65  75,100  125,175  225,300  400,500  675,"2,750  12,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,4990,Shop with Affiliates  1934-D,MS  +,5,6,20,70,90  95,110  135,150  200,250  325,700  900,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,4991,Shop with Affiliates  1934-D,FB  +,,,,,125  150,225  275,375  475,"1,100  1,250","1,850  4,000",7250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,4992,Shop with Affiliates  1935,MS  +,4,4,5,15,20  25,30  35,40  50,80  100,180  500,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4993,Shop with Affiliates  1935,FB  +,,,,25,50  55,65  85,110  135,225  275,500  800,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,4994,Shop with Affiliates  1935-D,MS  +,5,6,15,50,75  85,100  110,125  150,200  450,"900  1,450",3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,4995,Shop with Affiliates  1935-D,FB  +,,,,75,150  175,275  350,475  600,"950  1,250","2,500  5,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,4996,Shop with Affiliates  1935-S,MS  +,4,4,10,28,50  60,75  85,100  110,125  175,350  800,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,4997,Shop with Affiliates  1935-S,FB  +,,,,,150  175,240  300,525  575,"625  1,000","1,500  3,000",90000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,4998,Shop with Affiliates  1936,MS  +,4,4,6,12,▲22  25,40  45,50  60,85  95,110  215,"1,075  4,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,4999,Shop with Affiliates  1936,FB  +,,,,25,45  50,60  75,125  150,175  200,475  700,"3,500  17,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,5000,Shop with Affiliates  1936-D,MS  +,5,5,12,35,55  60,70  80,90  100,125  175,360  750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,5001,Shop with Affiliates  1936-D,FB  +,,,,40,125  135,150  175,275  325,450  600,"950  1,800","5,750  15,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,5002,Shop with Affiliates  1936-S,MS  +,4,4,10,30,40  45,50  55,60  65,100  125,250  800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,5003,Shop with Affiliates  1936-S,FB  +,,,,,60  70,100  110,125  185,300  375,"575  1,600","22,500  32,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,5004,Shop with Affiliates  1937,MS  +,4,4,7,14,▲22  25,▲34  37,42  47,60  75,115  225,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,5005,Shop with Affiliates  1937,FB  +,,,,15,▲32  35,40  50,60  70,110  135,225  450,"2,750  50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,5006,Shop with Affiliates  1937-D,MS  +,4,4,10,30,40  42,45  50,55  65,80  100,225  300,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,5007,Shop with Affiliates  1937-D,FB  +,,,,,50  55,65  80,135  175,225  300,"500  1,150","3,400  10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,5008,Shop with Affiliates  1937-S,MS  +,4,4,16,30,40  45,50  65,115  135,150  200,225  500,"1,500  2,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,5009,Shop with Affiliates  1937-S,FB  +,,,,35,65  85,175  215,275  325,425  550,"950  2,100",15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,5010,Shop with Affiliates  1938,MS  +,4,4,6,16,20  25,35  45,50  60,70  85,115  350,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,5011,Shop with Affiliates  1938,FB  +,,,,,40  50,75  85,115  135,175  225,375  700,"6,000  15,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,5012,Shop with Affiliates  1938-D,MS  +,4,4,9,25,35  37,40  45,60  65,80  160,185  350,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,5013,Shop with Affiliates  1938-D,FB  +,,,,30,50  55,60  75,100  125,175  225,425  850,"4,500  12,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,5014,Shop with Affiliates  1938-S,MS  +,4,4,9,30,35  40,50  55,60  75,90  110,210  350,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,5015,Shop with Affiliates  1938-S,FB  +,,,,30,60  70,95  120,200  250,360  550,"1,050  1,750",9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,5016,Shop with Affiliates  1939,MS  +,4,4,5,14,▲22  25,▲34  37,50  60,80  95,135  200,"550  1,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,5017,Shop with Affiliates  1939,FB  +,,,,25,50  60,75  110,185  230,285  500,"825  1,625",4750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,5018,Shop with Affiliates  1939-D,MS  +,4,4,8,25,35  37,40  42,45  50,60  75,125  225,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,5019,Shop with Affiliates  1939-D,FB  +,,,,,45  50,60  70,100  110,125  185,285  475,"1,200  5,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,5020,Shop with Affiliates  1939-S,MS  +,4,4,7,30,40  45,50  55,60  75,100  125,300  450,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,5021,Shop with Affiliates  1939-S,FB  +,,,,75,175  225,400  500,700  850,"1,250  1,850","3,750  4,500",15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,5022,Shop with Affiliates  1940,MS  +,4,4,5,10,▲22  25,▲34  37,42  47,55  65,115  250,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,5023,Shop with Affiliates  1940,FB  +,,,,15,▲32  35,40  50,65  75,90  135,325  475,"3,600  18,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,5024,Shop with Affiliates  1940-D,MS  +,4,4,5,10,▲22  25,▲34  37,42  47,55  65,115  225,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,5025,Shop with Affiliates  1940-D,FB  +,,,,,▲32  35,40  50,60  70,115  150,275  500,"1,600  5,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,85025,Shop with Affiliates  1940-D,FB PL  +,,,,,,,500  750,"1,100  1,500",2350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,5026,Shop with Affiliates  1940-S,MS  +,4,4,5,10,▲22  25,▲34  37,42  47,55  65,150  450,"1,750  8,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,5027,Shop with Affiliates  1940-S,FB  +,,,,,35  40,50  65,125  150,200  250,"475  1,100","5,000  15,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,5028,Shop with Affiliates  1941,MS  +,4,4,5,10,▲22  25,▲34  37,42  47,55  65,115  225,"600  2,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,5029,Shop with Affiliates  1941,FB  +,,,,15,▲32  35,40  50,60  70,110  140,275  700,"4,000  17,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,5030,Shop with Affiliates  1941-D,MS  +,4,4,5,10,▲22  25,▲34  37,42  47,55  65,115  275,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,5031,Shop with Affiliates  1941-D,FB  +,,,,15,▲32  35,40  50,60  70,82  115,185  475,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,5032,Shop with Affiliates  1941-S,MS  +,4,4,5,10,▲22  25,▲34  37,42  47,55  65,115  275,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,794786,Shop with Affiliates  1941-S,FB PL  +,,,,,,,,,"1,500  2,000",5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,5033,Shop with Affiliates  1941-S,FB  +,,,,20,35  40,50  60,75  100,150  200,300  625,"5,250  30,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,5034,Shop with Affiliates  1942,MS  +,4,4,5,10,▲22  25,▲34  37,42  47,55  65,115  225,"800  5,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,5035,Shop with Affiliates  1942,FB  +,,,,15,▲32  35,40  50,60  70,100  135,400  600,"5,000  17,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,5036,Shop with Affiliates  1942/1,MS  +,375,450,750,3000,"7,000  8,500","9,500  12,500","15,000  17,500","20,000  25,000","70,000  100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,5037,Shop with Affiliates  1942/1,FB  +,,,1000,4500,"15,000  16,000","17,500  27,500","62,500  80,000",100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,5038,Shop with Affiliates  1942-D,MS  +,4,4,5,10,▲22  25,▲34  37,42  47,55  65,115  225,"600  1,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,5039,Shop with Affiliates  1942-D,FB  +,,,,15,▲32  35,40  50,60  70,100  125,250  360,"1,650  7,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,5040,Shop with Affiliates  1942/1-D,MS  +,350,450,700,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,5041,Shop with Affiliates  1942/1-D,FB  +,,,,3750,"10,500  12,500","15,000  18,500","32,500  35,000","42,500  75,000",125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
