,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,4903,Type,FB  +,,,,15,▲32  35,40  50,60  70,82  115,185  325,"1,050  5,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4904,Shop with Affiliates  1916 Mercury,MS  +,7,10,15,60,100  110,125  135,150  200,315  575,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4905,Shop with Affiliates  1916 Mercury,FB  +,,,,65,125  135,185  225,300  400,475  600,"1,700  2,400","12,500  25,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4906,Shop with Affiliates  1916-D,MS  +,1350,3500,8500,15000,"20,000  21,000","22,500  26,500","34,000  37,500",47500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4907,Shop with Affiliates  1916-D,FB  +,,,,18000,"26,500  28,500","35,000  40,000","55,000  62,500","▲75,000  ▲90,000","225,000  265,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4908,Shop with Affiliates  1916-S Mercury,MS  +,7,17,32,65,125  150,200  250,300  350,450  550,"1,800  5,250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4909,Shop with Affiliates  1916-S Mercury,FB  +,,,,100,225  275,340  450,"1,000  1,250","1,750  2,250","5,750  15,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4910,Shop with Affiliates  1917,MS  +,5,7,14,65,90  100,110  125,200  250,450  800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4911,Shop with Affiliates  1917,FB  +,,,,75,160  185,240  275,550  625,"850  1,350","2,250  6,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4912,Shop with Affiliates  1917-D,MS  +,7,20,70,175,325  400,600  825,"950  1,250","1,500  2,250","8,750  13,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
